,Course Name,Entrance Requirements,Page URL,UUID
0,Archaeology and Anthropology,Not found :(,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/archaeology-and-anthropology,254b09e4-68cd-48ff-81d6-0f8b08d4e9fa
1,Biochemistry (Molecular and Cellular),"A*AA including Chemistry and another science or Maths, with the A* in Maths, Physics, Chemistry, or Biology (or a very closely related subject)",https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/biochemistry-molecular-and-cellular,8fdafbea-9c78-47e9-b816-296965b60bb0
2,Biology,A*AA (with the A* in a science or Maths),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/biology,c557200f-f63f-4ae1-9b1f-81430ec61b37
3,Biomedical Sciences,"A*AA excluding Critical Thinking, Thinking Skills and GeneralStudies",https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/biomedical-sciences,a4fc6255-ebaf-4e57-b197-de2143b82caa
4,Chemistry,A*A*A (with both A*s in science subjects and/or Maths),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/chemistry,3a416077-0518-462a-b95d-0a79304f480c
5,Classical Archaeology and Ancient History,AAA,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classical-archaeology-and-ancient-history,9e7d6655-c6d6-4749-95b6-9f655cf68e62
6,Classics,AAA (in Latin and Greek if taken),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics,b76be9b3-cc54-40e4-8ae6-67b22e8b1c7a
7,Classics and English,AAA (in Latin and Greek if taken),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-english,ba84e2fa-3d76-46cb-9b33-8ec66691fb19
8,Classics and Modern Languages,AAA (in Latin and Greek if taken),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-modern-languages,d5a22a94-1a14-47a2-9a04-10731e8b3da9
9,Classics and Oriental Studies,AAA (in Latin and Greek if taken),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/classics-and-oriental-studies,7a7e1446-d30f-4e2d-9f9f-ce2250a34f0c
